# Institutional and overlooked employers within ~200km of Hamilton, ON.
#
# A candidate list, not a watchlist. Nothing here is verified yet — the domains are
# roots, not careers pages, because guessing a careers path is how you get a wall of
# 404s. The fingerprint pass resolves each one to its real board and names the vendor.
#
#   tier  sector  name  city  domain
#
#   tier A   <=40km    Hamilton and the immediate ring — bikeable to a 30-min drive
#   tier B   40-100km  Niagara, KW, Guelph, Peel, Toronto
#   tier C   100-200km Durham, York north, Barrie, London, Stratford, Peterborough
#
# The premise: these employers do not compete for juniors on LinkedIn. Most of them
# post once, on their own board, and wait. An aggregator never sees it.

# === HOSPITALS AND HEALTH NETWORKS ==============================================
A	hospital	Hamilton Health Sciences	Hamilton	hamiltonhealthsciences.ca
A	hospital	St. Joseph's Healthcare Hamilton	Hamilton	stjoes.ca
A	hospital	St. Joseph's Health System	Hamilton	sjhs.ca
A	hospital	Joseph Brant Hospital	Burlington	josephbranthospital.ca
A	hospital	Halton Healthcare	Oakville	haltonhealthcare.on.ca
A	hospital	Brant Community Healthcare System	Brantford	bchsys.org
A	hospital	De dwa da dehs nye>s Aboriginal Health	Hamilton	aboriginalhealthcentre.com
A	hospital	St. Joseph's Home Care	Hamilton	stjosephshomecare.ca
A	hospital	Haldimand War Memorial Hospital	Dunnville	hwmh.ca
B	hospital	Niagara Health	St. Catharines	niagarahealth.on.ca
B	hospital	Grand River Hospital	Kitchener	grhosp.on.ca
B	hospital	St. Mary's General Hospital	Kitchener	smgh.ca
B	hospital	Cambridge Memorial Hospital	Cambridge	cmh.org
B	hospital	Guelph General Hospital	Guelph	gghorg.ca
B	hospital	Homewood Health	Guelph	homewoodhealth.com
B	hospital	Groves Memorial / Wellington Health Care	Fergus	gmch.ca
B	hospital	Norfolk General Hospital	Simcoe	ngh.on.ca
B	hospital	Trillium Health Partners	Mississauga	thp.ca
B	hospital	William Osler Health System	Brampton	williamoslerhs.ca
B	hospital	Headwaters Health Care Centre	Orangeville	headwatershealth.ca
B	hospital	University Health Network	Toronto	uhn.ca
B	hospital	Unity Health Toronto	Toronto	unityhealth.to
B	hospital	Sinai Health	Toronto	sinaihealth.ca
B	hospital	The Hospital for Sick Children	Toronto	sickkids.ca
B	hospital	Sunnybrook Health Sciences	Toronto	sunnybrook.ca
B	hospital	Women's College Hospital	Toronto	womenscollegehospital.ca
B	hospital	CAMH	Toronto	camh.ca
B	hospital	Holland Bloorview	Toronto	hollandbloorview.ca
B	hospital	Baycrest	Toronto	baycrest.org
B	hospital	Michael Garron Hospital	Toronto	tehn.ca
B	hospital	Humber River Health	Toronto	hrh.ca
